iteration,ru_id,x,y,z,freq_ghz,elements,azimuth_deg,downtilt_deg,gbest_fitness
1,1,417.376,383.417,26.753,3.8399,6,-70.01,6.87,1395.72071017
1,2,390.245,151.218,35.215,3.6010,7,115.71,4.60,1395.72071017
1,3,242.314,782.271,32.395,2.0408,5,-37.83,15.70,1395.72071017
2,1,1000.000,291.904,44.993,3.9120,8,-180.00,18.67,1386.99250322
2,2,644.847,647.273,10.000,2.2816,8,180.00,0.00,1386.99250322
2,3,118.699,1000.000,50.000,2.0000,1,-180.00,2.47,1386.99250322
3,1,1000.000,426.385,50.000,2.9148,6,-180.00,17.16,1375.89980230
3,2,514.173,500.460,10.000,2.0000,8,180.00,0.00,1375.89980230
3,3,425.724,591.241,45.650,2.0000,1,-134.62,20.00,1375.89980230
4,1,1000.000,207.263,50.000,2.0000,8,-180.00,20.00,1358.84921593
4,2,1000.000,782.907,10.000,2.0000,8,180.00,0.00,1358.84921593
4,3,29.710,945.906,50.000,2.0000,1,-52.46,0.00,1358.84921593
5,1,1000.000,124.971,50.000,2.0000,8,-180.00,20.00,1336.23557784
5,2,515.351,678.606,10.000,2.0000,8,180.00,0.00,1336.23557784
5,3,598.940,823.186,50.000,2.0000,1,-38.23,0.00,1336.23557784
6,1,1000.000,124.971,50.000,2.0000,8,-180.00,20.00,1336.23557784
6,2,515.351,678.606,10.000,2.0000,8,180.00,0.00,1336.23557784
6,3,598.940,823.186,50.000,2.0000,1,-38.23,0.00,1336.23557784
7,1,1000.000,246.389,50.000,2.0000,8,-180.00,20.00,1331.21611191
7,2,384.518,736.657,10.000,2.0000,8,180.00,0.00,1331.21611191
7,3,810.341,786.545,50.000,2.0000,1,72.66,0.00,1331.21611191
8,1,1000.000,688.536,50.000,2.0892,1,97.41,20.00,1317.51068096
8,2,882.022,184.240,10.000,2.0000,8,169.15,0.27,1317.51068096
8,3,548.381,664.383,10.000,2.0000,8,180.00,0.00,1317.51068096
9,1,1000.000,688.536,50.000,2.0892,1,97.41,20.00,1317.51068096
9,2,882.022,184.240,10.000,2.0000,8,169.15,0.27,1317.51068096
9,3,548.381,664.383,10.000,2.0000,8,180.00,0.00,1317.51068096
10,1,1000.000,688.536,50.000,2.0892,1,97.41,20.00,1317.51068096
10,2,882.022,184.240,10.000,2.0000,8,169.15,0.27,1317.51068096
10,3,548.381,664.383,10.000,2.0000,8,180.00,0.00,1317.51068096
11,1,1000.000,0.000,50.000,2.0000,8,115.44,20.00,1316.98429405
11,2,537.655,480.945,10.000,2.0000,8,164.41,0.00,1316.98429405
11,3,772.226,677.651,10.000,2.0000,8,113.63,0.00,1316.98429405
12,1,1000.000,397.233,50.000,2.0000,8,168.44,20.00,1313.88177289
12,2,577.079,144.184,10.000,2.0000,8,154.93,0.32,1313.88177289
12,3,709.041,664.113,10.000,2.0000,8,180.00,2.12,1313.88177289
13,1,1000.000,269.782,50.000,2.0000,8,161.21,20.00,1304.70043320
13,2,312.753,217.551,10.000,2.0000,8,142.42,0.52,1304.70043320
13,3,874.647,678.738,10.000,2.0000,8,180.00,0.71,1304.70043320
14,1,1000.000,269.782,50.000,2.0000,8,161.21,20.00,1304.70043320
14,2,312.753,217.551,10.000,2.0000,8,142.42,0.52,1304.70043320
14,3,874.647,678.738,10.000,2.0000,8,180.00,0.71,1304.70043320
15,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
15,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
15,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
16,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
16,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
16,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
17,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
17,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
17,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
18,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
18,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
18,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
19,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
19,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
19,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
20,1,1000.000,251.782,50.000,2.0000,8,169.56,20.00,1294.39848128
20,2,251.239,355.016,10.000,2.0000,8,128.84,1.25,1294.39848128
20,3,482.427,721.601,10.000,2.0000,8,180.00,0.00,1294.39848128
