Latitude,Longitude,Value
35.7806,-78.6382,79
35.7806,-78.6382,82
35.7806,-78.6382,65
35.7806,-78.6327,99
35.7806,-78.6327,96
35.7806,-78.6327,55
35.7806,-78.6272,60
35.7806,-78.6272,83
35.7806,-78.6272,53
35.7806,-78.6217,76
35.7806,-78.6217,52
35.7806,-78.6217,94
35.7806,-78.61619999999999,62
35.7806,-78.61619999999999,74
35.7806,-78.61619999999999,72
35.7806,-78.6107,61
35.7806,-78.6107,77
35.7806,-78.6107,59
35.7806,-78.6052,54
35.7806,-78.6052,53
35.7806,-78.6052,77
35.7806,-78.5997,63
35.7806,-78.5997,66
35.7806,-78.5997,93
35.7806,-78.5942,53
35.7806,-78.5942,89
35.7806,-78.5942,73
35.7806,-78.5887,56
35.7806,-78.5887,92
35.7806,-78.5887,90
35.7851,-78.6382,72
35.7851,-78.6382,78
35.7851,-78.6382,77
35.7851,-78.6327,90
35.7851,-78.6327,56
35.7851,-78.6327,81
35.7851,-78.6272,93
35.7851,-78.6272,83
35.7851,-78.6272,63
35.7851,-78.6217,84
35.7851,-78.6217,65
35.7851,-78.6217,79
35.7851,-78.61619999999999,99
35.7851,-78.61619999999999,82
35.7851,-78.61619999999999,88
35.7851,-78.6107,99
35.7851,-78.6107,61
35.7851,-78.6107,63
35.7851,-78.6052,61
35.7851,-78.6052,67
35.7851,-78.6052,89
35.7851,-78.5997,53
35.7851,-78.5997,71
35.7851,-78.5997,56
35.7851,-78.5942,59
35.7851,-78.5942,55
35.7851,-78.5942,51
35.7851,-78.5887,89
35.7851,-78.5887,70
35.7851,-78.5887,63
35.7896,-78.6382,74
35.7896,-78.6382,71
35.7896,-78.6382,51
35.7896,-78.6327,68
35.7896,-78.6327,72
35.7896,-78.6327,74
35.7896,-78.6272,63
35.7896,-78.6272,94
35.7896,-78.6272,83
35.7896,-78.6217,97
35.7896,-78.6217,62
35.7896,-78.6217,74
35.7896,-78.61619999999999,66
35.7896,-78.61619999999999,61
35.7896,-78.61619999999999,94
35.7896,-78.6107,86
35.7896,-78.6107,60
35.7896,-78.6107,77
35.7896,-78.6052,67
35.7896,-78.6052,72
35.7896,-78.6052,92
35.7896,-78.5997,82
35.7896,-78.5997,58
35.7896,-78.5997,96
35.7896,-78.5942,59
35.7896,-78.5942,88
35.7896,-78.5942,66
35.7896,-78.5887,99
35.7896,-78.5887,83
35.7896,-78.5887,96
35.7941,-78.6382,98
35.7941,-78.6382,60
35.7941,-78.6382,70
35.7941,-78.6327,54
35.7941,-78.6327,62
35.7941,-78.6327,61
35.7941,-78.6272,73
35.7941,-78.6272,65
35.7941,-78.6272,76
35.7941,-78.6217,69
35.7941,-78.6217,86
35.7941,-78.6217,88
35.7941,-78.61619999999999,99
35.7941,-78.61619999999999,67
35.7941,-78.61619999999999,95
35.7941,-78.6107,89
35.7941,-78.6107,76
35.7941,-78.6107,73
35.7941,-78.6052,79
35.7941,-78.6052,71
35.7941,-78.6052,89
35.7941,-78.5997,68
35.7941,-78.5997,87
35.7941,-78.5997,87
35.7941,-78.5942,91
35.7941,-78.5942,80
35.7941,-78.5942,74
35.7941,-78.5887,96
35.7941,-78.5887,63
35.7941,-78.5887,71
35.7986,-78.6382,71
35.7986,-78.6382,74
35.7986,-78.6382,54
35.7986,-78.6327,70
35.7986,-78.6327,97
35.7986,-78.6327,52
35.7986,-78.6272,97
35.7986,-78.6272,52
35.7986,-78.6272,53
35.7986,-78.6217,78
